# max at 55613
#MJD		g		r		i		z		y
55617.06	20.77	0.045	20.6	0.028	20.65	0.028	20.7	0.073	9999	0.000
55619.02	20.8	0.028	20.58	0.028	20.69	0.036	21.0	0.102	9999	0.000
55620.04	20.77	0.028	20.6	0.028	20.67	0.036	20.72	0.063	9999	0.000
55621.02	20.58	0.022	20.89	0.028	20.61	0.054	21.07	0.073	9999	0.000
55629.39	20.64	0.022	20.89	0.028	9999	0.000	9999	0.000	9999	0.000
55631.38	9999	0.000	9999	0.000	9999	0.000	9999	0.000	21.03	0.085
55632.50	20.68	0.022	20.98	0.028	9999	0.000	9999	0.000	9999	0.000
55633.38	9999	0.000	9999	0.000	20.67	0.054	9999	0.000	9999	0.000
55634.32	9999	0.000	9999	0.000	9999	0.000	21.07	0.045	9999	0.000
55635.34	20.76	0.041	20.97	0.022	9999	0.000	9999	0.000	9999	0.000
55636.38	9999	0.000	9999	0.000	20.67	0.064	9999	0.000	9999	0.000
55637.43	9999	0.000	9999	0.000	20.7	0.158	9999	0.000	9999	0.000
55641.96	20.84	0.051	20.95	0.036	20.68	0.064	21.05	0.063	21.19	0.113
55642.95	20.9	0.022	21.05	0.028	20.76	0.058	9999	0.000	9999	0.000
55644.01	20.91	0.041	21.07	0.036	20.78	0.064	21.04	0.073	9999	0.000
55645.98	20.97	0.041	21.04	0.036	20.77	0.054	9999	0.000	9999	0.000
55645.99	9999	0.000	9999	0.000	20.83	0.064	9999	0.000	9999	0.000
55646.94	21.0	0.032	21.11	0.028	20.79	0.058	21.05	0.102	9999	0.000
55646.43	9999	0.000	9999	0.000	9999	0.000	21.18	0.036	9999	0.000
55646.96	9999	0.000	9999	0.000	9999	0.000	21.07	0.082	9999	0.000
55648.09	20.98	0.032	21.13	0.036	20.82	0.064	21.08	0.082	9999	0.000
55648.98	21.03	0.032	21.09	0.036	20.84	0.064	21.04	0.092	9999	0.000
55649.98	21.1	0.041	21.21	0.045	20.78	0.064	21.21	0.063	9999	0.000
55650.48	21.08	0.041	21.21	0.036	9999	0.000	20.99	0.082	9999	0.000
55650.99	21.11	0.051	21.25	0.045	9999	0.000	9999	0.000	9999	0.000
55651.47	9999	0.000	9999	0.000	20.83	0.054	9999	0.000	9999	0.000
55651.94	21.11	0.032	21.25	0.045	20.92	0.071	9999	0.000	9999	0.000
55653.48	21.37	0.045	21.38	0.092	9999	0.000	9999	0.000	9999	0.000
55654.94	21.41	0.045	21.39	0.095	21.07	0.071	9999	0.000	9999	0.000
55655.94	21.48	0.054	21.34	0.098	21.02	0.078	9999	0.000	9999	0.000
55656.96	21.44	0.054	21.43	0.098	20.98	0.071	21.11	0.094	9999	0.000
55657.94	21.6	0.063	21.49	0.098	9999	0.000	9999	0.000	9999	0.000
55659.94	21.59	0.054	21.56	0.098	21.01	0.086	9999	0.000	9999	0.000
55660.94	21.71	0.073	21.48	0.098	20.96	0.094	9999	0.000	9999	0.000
55661.94	21.66	0.073	21.61	0.114	21.02	0.071	21.3	0.112	9999	0.000
55662.33	21.66	0.054	21.54	0.095	9999	0.000	9999	0.000	9999	0.000
55662.94	21.62	0.122	9999	0.000	9999	0.000	9999	0.000	9999	0.000
55663.31	9999	0.000	9999	0.000	21.09	0.054	9999	0.000	9999	0.000
55663.94	9999	0.000	21.55	0.114	20.97	0.078	9999	0.000	9999	0.000
55664.94	9999	0.000	21.55	0.108	21.07	0.078	21.15	0.112	9999	0.000
55665.29	21.91	0.092	21.68	0.095	9999	0.000	9999	0.000	9999	0.000
55666.32	9999	0.000	9999	0.000	21.09	0.054	9999	0.000	9999	0.000
55668.40	9999	0.000	9999	0.000	9999	0.000	9999	0.000	21.17	0.135
55669.39	9999	0.000	9999	0.000	9999	0.000	9999	0.000	21.39	0.141
55671.39	9999	0.000	9999	0.000	9999	0.000	9999	0.000	21.33	0.135
55672.35	9999	0.000	9999	0.000	21.13	0.054	9999	0.000	9999	0.000
55673.89	21.99	0.092	9999	0.000	9999	0.000	21.43	0.058	9999	0.000
55674.31	22.04	0.045	9999	0.000	9999	0.000	9999	0.000	9999	0.000
55674.94	21.9	0.073	21.83	0.095	9999	0.000	9999	0.000	9999	0.000
55675.33	9999	0.000	9999	0.000	21.28	0.054	9999	0.000	9999	0.000
55675.89	21.97	0.054	21.73	0.098	21.16	0.064	21.31	0.103	9999	0.000
55676.96	22.04	0.063	21.83	0.098	21.1	0.064	21.51	0.078	9999	0.000
55677.38	22.14	0.045	21.93	0.095	9999	0.000	9999	0.000	9999	0.000
55680.26	22.36	0.073	21.97	0.098	9999	0.000	9999	0.000	9999	0.000
55681.27	9999	0.000	9999	0.000	21.3	0.058	9999	0.000	9999	0.000
55682.25	9999	0.000	9999	0.000	9999	0.000	21.52	0.064	9999	0.000
55685.89	22.26	0.054	21.95	0.103	21.19	0.071	9999	0.000	9999	0.000
55686.92	22.26	0.063	21.92	0.108	9999	0.000	9999	0.000	9999	0.000
55687.89	22.22	0.063	21.87	0.103	21.3	0.086	9999	0.000	9999	0.000
55689.89	22.37	0.122	21.93	0.114	21.26	0.086	9999	0.000	9999	0.000
55690.97	22.33	0.161	22.09	0.120	9999	0.000	9999	0.000	9999	0.000
55692.29	9999	0.000	22.13	0.103	9999	0.000	9999	0.000	9999	0.000
55692.28	22.53	0.132	22.1	0.158	21.24	0.103	9999	0.000	9999	0.000
55694.28	9999	0.000	9999	0.000	9999	0.000	21.6	0.086	9999	0.000
55695.94	9999	0.000	9999	0.000	21.34	0.103	9999	0.000	9999	0.000
55697.30	9999	0.000	9999	0.000	9999	0.000	9999	0.000	21.58	0.120
55698.90	9999	0.000	9999	0.000	21.37	0.136	9999	0.000	9999	0.000
55702.89	22.23	0.081	22.36	0.100	21.37	0.064	9999	0.000	9999	0.000
55703.28	9999	0.000	9999	0.000	9999	0.000	21.58	0.058	9999	0.000
55704.97	22.1	0.061	22.41	0.100	21.41	0.117	9999	0.000	9999	0.000
55705.26	9999	0.000	9999	0.000	21.5	0.050	9999	0.000	9999	0.000
55706.26	9999	0.000	9999	0.000	9999	0.000	21.74	0.067	9999	0.000
55710.29	22.3	0.061	22.42	0.085	9999	0.000	9999	0.000	9999	0.000
55711.29	9999	0.000	9999	0.000	21.61	0.064	9999	0.000	9999	0.000
55712.89	22.24	0.071	22.49	0.094	21.55	0.072	21.77	0.042	9999	0.000
55714.95	22.26	0.071	22.4	0.094	21.49	0.081	9999	0.000	9999	0.000
55718.26	9999	0.000	9999	0.000	9999	0.000	21.83	0.058	9999	0.000
55719.27	22.64	0.130	22.77	0.094	9999	0.000	9999	0.000	9999	0.000
55720.30	9999	0.000	9999	0.000	21.75	0.081	9999	0.000	9999	0.000
55720.89	22.25	0.160	22.64	0.106	21.58	0.081	9999	0.000	9999	0.000
55723.28	9999	0.000	9999	0.000	21.77	0.057	9999	0.000	9999	0.000
55726.26	9999	0.000	9999	0.000	9999	0.000	9999	0.000	22.06	0.192
55727.26	9999	0.000	9999	0.000	9999	0.000	9999	0.000	22.14	0.184
55737.90	22.58	0.100	22.91	0.120	9999	0.000	9999	0.000	9999	0.000
55741.89	22.67	0.140	22.83	0.113	21.92	0.072	9999	0.000	9999	0.000
55920.10	9999	0.000	23.68	0.170	9999	0.000	9999	0.000	9999	0.000
55925.90	9999	0.000	9999	0.000	9999	0.000	22.6	0.140	9999	0.000
55955.10	9999	0.000	9999	0.000	23.45	0.070	9999	0.000	9999	0.000
55958.60	9999	0.000	9999	0.000	9999	0.000	23.17	0.130	9999	0.000
55978.50	9999	0.000	9999	0.000	23.61	0.180	9999	0.000	9999	0.000
56017.30	9999	0.000	9999	0.000	23.62	0.190	9999	0.000	9999	0.000
